topic_name,category_name,bundle_id,year,company,industry,country
Safe environment,Other,58480,2024,ADF Foods Ltd,Processed Foods,India
Employee welfare,Employee attraction and retention,25956,2021,Jaya Swarasa Agung TBK PT,Processed Foods,Indonesia
collective bargaining,Freedom of association and collective bargaining,26446,2023,Kervan Gida Sanayi Ve Ticaret AS,Processed Foods,Turkiye
"Diversity, Equity & Inclusion","Diversity, equal opportunity and non-discrimination",18790,2023,"Flowers Foods, Inc.",Processed Foods,United States
"Health, safety and wellness",Occupational health and safety,49806,2022,Grupo Bimbo SAB de CV,Processed Foods,Mexico
Climate Change,Climate change and GHG emissions,38921,2024,Nichirei Corp,Processed Foods,Japan
Talent Attraction,Employee attraction and retention,53245,2021,Griffith Foods,Processed Foods,United States
Supplier engagement,Supply chain and procurement practices,29633,2023,AAK AB (publ),Processed Foods,Sweden
Environmental management,Environmental management,26138,2023,Seafresh Industry PCL,Processed Foods,Thailand
Packaging material management,Material use and circular economy,43852,2022,Foshan Haitian Flavouring & Food Co Ltd,Processed Foods,China
Ethical supply chain,Supply chain and procurement practices,23262,2022,Tiger Brands Ltd,Processed Foods,South Africa
Logistics and distribution,Supply chain and procurement practices,34170,2023,Itoham Yonekyu Holdings Inc.,Processed Foods,Japan
Employee Benefits and Wellness,Employee attraction and retention,19847,2019,Lamb Weston Holdings Inc,Processed Foods,United States
Financial/Economic Performance,Economic performance,44308,2023,HB Global Ltd,Processed Foods,China
quality management systems,Corporate governance,23262,2022,Tiger Brands Ltd,Processed Foods,South Africa
resource conservation,Material use and circular economy,31832,2020,Blue Star Foods Corp.,Processed Foods,United States
R&D and Innovation,Innovation and R&D,40707,2021,Ulker Biskuvi Sanayi AS,Processed Foods,Turkiye
Data security and cyber risk,Data security and customer privacy,36272,2023,Jungbunzlauer Suisse AG,Processed Foods,Switzerland
Inclusive governance,Corporate governance,18997,2024,Bonduelle SCA,Processed Foods,France
No child labour,"Human rights, child labor, forced or compulsory labor",19924,2024,Greencore Group PLC,Processed Foods,Ireland
"Protect, Renew and Restore Natural Resources",Environmental management,45996,2023,Nestle Pakistan Ltd,Processed Foods,Pakistan
GHG & Other Emissions,Climate change and GHG emissions,50752,2021,Kawan Food Bhd,Processed Foods,Malaysia
Industry Engagement and Collaboration,Corporate governance,45988,2022,Nestle Malaysia Bhd,Processed Foods,Malaysia
Responsible marketing,Responsible marketing and labeling,23262,2022,Tiger Brands Ltd,Processed Foods,South Africa
active roles for all employees,"Diversity, equal opportunity and non-discrimination",23932,2024,Calbee Inc,Processed Foods,Japan
Human rights,"Human rights, child labor, forced or compulsory labor",37982,2021,"Treehouse Foods, Inc.",Processed Foods,United States
Anti Competitive,Anti-competitive behavior,31833,2022,Blue Star Foods Corp.,Processed Foods,United States
Forced or Compulsory Labour,"Human rights, child labor, forced or compulsory labor",31214,2023,Guan Chong Berhad (GCB),Processed Foods,Malaysia
Consumer Health Nutrition,Customer health and safety,19848,2022,Lamb Weston Holdings Inc,Processed Foods,United States
inclusive and diverse culture,"Diversity, equal opportunity and non-discrimination",19923,2023,Greencore Group PLC,Processed Foods,Ireland
Diversity and equal opportunities,"Diversity, equal opportunity and non-discrimination",32133,2021,Bell Food Group AG,Processed Foods,Switzerland
Promoting sustainable procurement,Supply chain and procurement practices,34170,2023,Itoham Yonekyu Holdings Inc.,Processed Foods,Japan
Climate-related risks,Risk management,60562,2025,pladis,Processed Foods,United Kingdom
Air Pollutant Management,Air pollution,37554,2022,NongShim Co Ltd,Processed Foods,"Korea, Rep."
Management of relationships with suppliers,Supply chain and procurement practices,57634,2024,Julius Meinl,Processed Foods,Austria
Indirect economic impacts,Economic performance,31748,2022,Coca-Cola Europacific Partners PLC,Processed Foods,United Kingdom
Non-Discrimination,"Diversity, equal opportunity and non-discrimination",34765,2021,Thai President Foods Public Company Limited.,Processed Foods,Thailand
Grievance Mechanism,Corporate governance,44884,2023,Jiahe Foods Industry Co Ltd,Processed Foods,China
Risk monitoring and management,Risk management,22469,2023,Valsoia SpA,Processed Foods,Italy
Product quality and safety,Product quality and safety,43852,2022,Foshan Haitian Flavouring & Food Co Ltd,Processed Foods,China
Health and Nutrition,Access & affordability,50590,2021,Lien Hwa Industrial Corporation,Processed Foods,Taiwan
Corporate Governance,Corporate governance,33474,2021,Hosen Group Ltd,Processed Foods,Singapore
Environmental Protection,Environmental management,33575,2023,China Yurun Food Group Limited,Processed Foods,China
Waste Management,Waste management,45988,2022,Nestle Malaysia Bhd,Processed Foods,Malaysia
Efficient transportation,Energy,18870,2019,Cloetta AB,Processed Foods,Sweden
Risk and Crisis Management,Risk management,18444,2020,Campbell Soup Company,Processed Foods,United States
Tax Contributions,Tax,28540,2022,"Herbalife International, Inc.",Processed Foods,United States
responsible chemical handling,Environmental management,58847,2024,Nitta Gelatin Inc,Processed Foods,Japan
Water Resource Management,Water management,58064,2024,Viciunai Group,Processed Foods,Lithuania
Forced labour,"Human rights, child labor, forced or compulsory labor",35442,2023,Eggriculture Foods Ltd,Processed Foods,Singapore
Product quality monitoring,Product quality and safety,40247,2024,Uni-President Enterprises Corp,Processed Foods,Taiwan
Employee Health & Safety,Occupational health and safety,36685,2023,Lamb Weston Holdings Inc,Processed Foods,United States
Occupational Health and Safety,Occupational health and safety,47684,2024,Taokaenoi Food & Marketing PCL,Processed Foods,Thailand
Environment and climate change,Environmental management,34169,2022,Itoham Yonekyu Holdings Inc.,Processed Foods,Japan
Supply Chain Management,Supply chain and procurement practices,35442,2023,Eggriculture Foods Ltd,Processed Foods,Singapore
environmental stewardship,Environmental management,51202,2020,Tiger Brands Ltd,Processed Foods,South Africa
packaging,Material use and circular economy,32447,2022,Greencore Group PLC,Processed Foods,Ireland
Health safety environment,Other,33039,2019,Leroy Seafood Group ASA,Processed Foods,Norway
Business ethics,Corporate governance,21336,2022,Gruma SAB de CV,Processed Foods,Mexico
Environmental compliance,Compliance with laws and regulations,40156,2024,Seneca Foods Corporation,Processed Foods,United States
Climate change,Climate change and GHG emissions,31832,2020,Blue Star Foods Corp.,Processed Foods,United States
Wastewater treatment system,Water management,34766,2022,Thai President Foods Public Company Limited.,Processed Foods,Thailand
Supply chain management,Supply chain and procurement practices,37426,2022,Ajinomoto Co Inc,Processed Foods,Japan
Food & Safety,Product quality and safety,48898,2021,McCormick & Company Incorporated,Processed Foods,United States
Certified green coffee sources,Supply chain and procurement practices,28550,2020,The J.M. Smucker Company,Processed Foods,United States
Transparency and Trust,Other,57766,2024,Grupo Arcor SA,Processed Foods,Argentina
Training and Education,"Training, education and development",33474,2021,Hosen Group Ltd,Processed Foods,Singapore
Environment,Environmental management,20649,2019,"Post Holdings, Inc.",Processed Foods,United States
Water,Water management,28228,2019,Lindt & Sprüngli AG,Processed Foods,Switzerland
Ethics,Corporate governance,23248,2021,AVI Ltd,Processed Foods,South Africa
Effluents and Waste,Water management,36573,2024,DelMonte,Processed Foods,United States
Safe workplace environment,Occupational health and safety,18870,2019,Cloetta AB,Processed Foods,Sweden
Biodiversity,Biodiversity,46694,2024,QAF Ltd,Processed Foods,Singapore
energy management and efficiency,Energy,36272,2023,Jungbunzlauer Suisse AG,Processed Foods,Switzerland
Supplier Social Assessment,Supply chain and procurement practices,50588,2019,Lien Hwa Industrial Corporation,Processed Foods,Taiwan
Human Rights - Supply Chain,"Human rights, child labor, forced or compulsory labor",48808,2024,Saputo Inc,Processed Foods,Canada
Responsible sourcing,Supply chain and procurement practices,48993,2021,Vitasoy International Singapore Pte Ltd.,Processed Foods,Singapore
Natural resources,Environmental management,31787,2018,Glanbia plc,Processed Foods,Ireland
Health and safety,Occupational health and safety,29973,2021,Ferrero Group,Processed Foods,Luxembourg
Supply chain management,Supply chain and procurement practices,58756,2024,Jiujiuwang Food International Ltd,Processed Foods,China
Food waste,Waste management,53968,2023,Monini,Processed Foods,Italy
human rights,"Human rights, child labor, forced or compulsory labor",60220,2025,Kyokuyo Co Ltd,Processed Foods,Japan
Non-discrimination,"Diversity, equal opportunity and non-discrimination",46378,2023,Patties Foods Pty Ltd,Processed Foods,Australia
Excellent working conditions,Occupational health and safety,43021,2021,Convenience Foods Lanka PLC,Processed Foods,Sri Lanka
Product Quality & Safety,Product quality and safety,58273,2024,Saudia Dairy and Foodstuff Company,Processed Foods,Saudi Arabia
Food safety and quality,Product quality and safety,36483,2022,Bega Cheese Limited,Processed Foods,Australia
Climate Change & Emissions,Climate change and GHG emissions,37682,2021,"Freshpet, Inc.",Processed Foods,United States
Biodiversity,Biodiversity,18734,2020,"General Mills, Inc.",Processed Foods,United States
Market Presence,Economic performance,49293,2022,Sunmoon Food Co Ltd,Processed Foods,Singapore
Climate Change and Energy Efficiency,Energy,53610,2023,Kasih Food Production Company,Processed Foods,Jordan
Waste Management,Waste management,20650,2021,"Post Holdings, Inc.",Processed Foods,United States
environmental impact management,Environmental management,53373,2022,Hochland Polska,Processed Foods,Poland
Labor practice regulations,Compliance with laws and regulations,33738,2022,DCM Shriram Ltd.,Processed Foods,India
Depth of employee engagement,Employee attraction and retention,39270,2021,Old Chang Kee Ltd.,Processed Foods,Singapore
Employee welfare,Employee attraction and retention,31212,2021,Guan Chong Berhad (GCB),Processed Foods,Malaysia
Training and development,"Training, education and development",45389,2024,Lippo Ltd,Processed Foods,"Hong Kong SAR, China"
water stewardship,Water management,32823,2022,SunOpta Inc,Processed Foods,Canada
Responsible investment,Corporate governance,58675,2024,Foshan Haitian Flavouring & Food Co Ltd,Processed Foods,China
Human rights,"Human rights, child labor, forced or compulsory labor",33820,2023,"Deoleo, S.A.",Processed Foods,Spain
Procurement Practices,Supply chain and procurement practices,36573,2024,DelMonte,Processed Foods,United States
Land-related impacts,Biodiversity,60562,2025,pladis,Processed Foods,United Kingdom
Labor practices,"Human rights, child labor, forced or compulsory labor",45582,2022,Mayora Indah Tbk PT,Processed Foods,Indonesia
Sustainable fisheries,"Human rights, child labor, forced or compulsory labor",32651,2021,Hilton Food Group PLC,Processed Foods,United Kingdom
Olive farming,Other,53968,2023,Monini,Processed Foods,Italy
Promote circular economy,Material use and circular economy,29632,2022,AAK AB (publ),Processed Foods,Sweden
Generational transition,Other,53968,2023,Monini,Processed Foods,Italy
Labor management,"Human rights, child labor, forced or compulsory labor",27779,2024,Nichimo Co Ltd,Processed Foods,Japan
Corporate governance,Corporate governance,51958,2023,Ardo,Processed Foods,Belgium
human rights protection,"Human rights, child labor, forced or compulsory labor",55764,2022,Tiger Brands Ltd,Processed Foods,South Africa
Anti-corruption,Anti-corruption,28347,2018,Pivovary Staropramen s.r.o.,Processed Foods,Czechia
Energy Usage,Energy,20650,2021,"Post Holdings, Inc.",Processed Foods,United States
Industrial waste pollution,Waste management,46604,2021,President Bakery PCL,Processed Foods,Thailand
Government regulation and compliance,Compliance with laws and regulations,32253,2021,Bakkafrost P/F,Processed Foods,Faroe Islands
Waste treatment,Waste management,29493,2022,Lactalis ,Processed Foods,France
Climate Action,Climate change and GHG emissions,43048,2022,Country Foods Ltd,Processed Foods,South Africa
Food safety and quality,Product quality and safety,29975,2023,Ferrero Group,Processed Foods,Luxembourg
Packaging circularity plastic reduction,Material use and circular economy,32651,2021,Hilton Food Group PLC,Processed Foods,United Kingdom
Food quality,Product quality and safety,51959,2024,Ardo,Processed Foods,Belgium
Construction of value chains,Supply chain and procurement practices,41197,2022,Unicharm Petcare Corp,Processed Foods,Japan
Effluents and Waste,Waste management,46378,2023,Patties Foods Pty Ltd,Processed Foods,Australia
social responsibility,Corporate governance,52928,2024,Euraco Finefood Pte Ltd,Processed Foods,Singapore
Reporting of ethical concerns,Corporate governance,28737,2019,Orion Corporation,Processed Foods,Finland
Labor/Management Relations,Freedom of association and collective bargaining,59357,2024,Hochland Polska,Processed Foods,Poland
Labor practices,"Human rights, child labor, forced or compulsory labor",57112,2021,Premium Brands Holdings Corporation,Processed Foods,Canada
Living income,Other,18881,2020,Cloetta AB,Processed Foods,Sweden
Human rights violations,"Human rights, child labor, forced or compulsory labor",46605,2022,President Bakery PCL,Processed Foods,Thailand
Effluents,Water management,44878,2022,JG Summit Holdings Inc,Processed Foods,Philippines
Ethics and integrity,Corporate governance,29977,2022,"Sigma Alimentos, S. A. de C. V.",Processed Foods,Mexico
Industrialization,Other,45918,2021,NASCON Allied Industries PLC,Processed Foods,Nigeria
Freedom of Association and Collective Bargaining,Freedom of association and collective bargaining,50588,2019,Lien Hwa Industrial Corporation,Processed Foods,Taiwan
Workforce diversity,"Diversity, equal opportunity and non-discrimination",19922,2021,Greencore Group PLC,Processed Foods,Ireland
Health and safety,Occupational health and safety,24816,2023,Newlat Food SpA,Processed Foods,Italy
Corporate Governance and Business Ethics,Corporate governance,34765,2021,Thai President Foods Public Company Limited.,Processed Foods,Thailand
Biodiversity,Biodiversity,31214,2023,Guan Chong Berhad (GCB),Processed Foods,Malaysia
Work-life balance,Employee attraction and retention,31653,2021,"Nisshin OilliO Group, Ltd.",Processed Foods,Japan
Sustainable fish feed,Material use and circular economy,32253,2021,Bakkafrost P/F,Processed Foods,Faroe Islands
Energy,Energy,51998,2023,Aspire Bakeries,Processed Foods,United States
Food Safety,Product quality and safety,37719,2021,Saputo Inc,Processed Foods,Canada
Product Nutrition,Product quality and safety,33303,2022,Thai Union Group PCL,Processed Foods,Thailand
Product Responsibility,Product quality and safety,39288,2024,China Yurun Food Group Limited,Processed Foods,China
Water resources,Water management,35765,2024,Nestlé Group,Processed Foods,Switzerland
Climate impact from energy,Climate change and GHG emissions,28190,2018,Lantmännen ek för,Processed Foods,Sweden
Natural Capital,Other,21342,2019,Grupo Bimbo SAB de CV,Processed Foods,Mexico
Customer relationship management,Customer experience and engagement,25467,2023,Hunya Foods Co Ltd,Processed Foods,Taiwan
Reducing energy & emissions,Climate change and GHG emissions,31813,2020,Nomad Foods Limited,Processed Foods,United Kingdom
Waste management,Waste management,35547,2023,RFG Holdings Limited,Processed Foods,South Africa
Occupational health and safety,Occupational health and safety,49932,2023,Corbion NV,Processed Foods,Netherlands
Provide safe and healthy working environment,Occupational health and safety,27781,2024,Riken Vitamin Co Ltd,Processed Foods,Japan
Environment,Environmental management,27779,2024,Nichimo Co Ltd,Processed Foods,Japan
Renewable energy sources,Energy,36370,2022,Pivovary Staropramen s.r.o.,Processed Foods,Czechia
Respect for workers’ rights,"Human rights, child labor, forced or compulsory labor",37425,2021,Ajinomoto Co Inc,Processed Foods,Japan
Sourcing and Supply Chain,Supply chain and procurement practices,54236,2023,Parker Food Group,Processed Foods,United States
Business performance,Economic performance,45989,2023,Nestle Malaysia Bhd,Processed Foods,Malaysia
Social results,Other,31143,2022,Eurogerm SAS,Processed Foods,France
Wellbeing diversity inclusion,"Diversity, equal opportunity and non-discrimination",32651,2021,Hilton Food Group PLC,Processed Foods,United Kingdom
carbon emissions,Climate change and GHG emissions,52928,2024,Euraco Finefood Pte Ltd,Processed Foods,Singapore
Choice and transparency,Other,29068,2019,Hershey Co,Processed Foods,United States
Anti-corruption,Anti-corruption,52749,2023,Dr. Schär,Processed Foods,Italy
Responsible Sourcing Traceability,Supply chain and procurement practices,36684,2021,Lamb Weston Holdings Inc,Processed Foods,United States
Circular economy,Material use and circular economy,41195,2023,Daisho Co Ltd,Processed Foods,Japan
Compliance with taxes,Tax,58756,2024,Jiujiuwang Food International Ltd,Processed Foods,China
Supplier development,Supply chain and procurement practices,33293,2021,"San Miguel Food and Beverage, Inc.",Processed Foods,Philippines
Food Research and Development Innovation,Innovation and R&D,33575,2023,China Yurun Food Group Limited,Processed Foods,China
Occupational health and safety,Occupational health and safety,34153,2022,"J-Oil Mills, Inc.",Processed Foods,Japan
Nutrition accessibility,Other,35167,2024,Vitasoy International Singapore Pte Ltd.,Processed Foods,Singapore
"Diversity, equity and inclusion","Diversity, equal opportunity and non-discrimination",51327,2022,Kameda Seika Co Ltd,Processed Foods,Japan
Working conditions,Occupational health and safety,53784,2021,Lorenz Snacks,Processed Foods,Germany
Supply chain sustainability,Supply chain and procurement practices,52929,2023,Eurimac,Processed Foods,Greece
Competition law,Anti-competitive behavior,28532,2019,GEA Group Aktiengesellschaft,Processed Foods,Germany
Employment,Employee attraction and retention,28532,2019,GEA Group Aktiengesellschaft,Processed Foods,Germany
Food and nutrition,Other,18283,2023,Associated British Foods PLC,Processed Foods,United Kingdom
Sustainable procurement,Supply chain and procurement practices,29977,2022,"Sigma Alimentos, S. A. de C. V.",Processed Foods,Mexico
Financial performance,Economic performance,33524,2023,Old Chang Kee Ltd.,Processed Foods,Singapore
Regenerative agriculture,Biodiversity,55967,2023,Coca-Cola Europacific Partners PLC,Processed Foods,United Kingdom
Decent Work Environment,Occupational health and safety,26446,2023,Kervan Gida Sanayi Ve Ticaret AS,Processed Foods,Turkiye
Packaging lifecycle management,Material use and circular economy,35764,2023,Nestlé Group,Processed Foods,Switzerland
Staff Training and Development,"Training, education and development",48964,2024,Food Empire Holdings Limited,Processed Foods,Singapore
Supply chain environmental impacts,Supply chain and procurement practices,58046,2024,Tiger Brands Ltd,Processed Foods,South Africa
Community Relations and Stakeholder Management,Corporate governance,43211,2021,Del Monte Pacific Ltd,Processed Foods,Philippines
Job creation in smaller towns,Economic performance,58480,2024,ADF Foods Ltd,Processed Foods,India
Power interruptions,Risk management,24548,2023,Libstar Holdings Ltd,Processed Foods,South Africa
Water use,Water management,32585,2022,McCormick & Company Incorporated,Processed Foods,United States
Circular Economy,Material use and circular economy,26446,2023,Kervan Gida Sanayi Ve Ticaret AS,Processed Foods,Turkiye
Productivity and Optimization,Economic performance,33737,2021,DCM Shriram Ltd.,Processed Foods,India
Workplace safety,Occupational health and safety,57698,2024,The Hain Celestial Group Inc,Processed Foods,United States
Sustainable Environment,Other,33831,2022,AGV PRODUCTS CORP.,Processed Foods,Taiwan
Workers in the Value Chain,Supply chain and procurement practices,57922,2024,Valsoia SpA,Processed Foods,Italy
Whistleblower Program,Corporate governance,32823,2022,SunOpta Inc,Processed Foods,Canada
Energy and Carbon Reduction,Climate change and GHG emissions,36966,2024,Orion Corporation,Processed Foods,Finland
Pesticide & fertilizer use,Environmental management,18444,2020,Campbell Soup Company,Processed Foods,United States
human rights,"Human rights, child labor, forced or compulsory labor",37427,2024,Ajinomoto Co Inc,Processed Foods,Japan
"Diversity, equity & inclusion","Diversity, equal opportunity and non-discrimination",28642,2023,Premium Brands Holdings Corporation,Processed Foods,Canada
Diversity and equal opportunities,"Diversity, equal opportunity and non-discrimination",51164,2016,Ebro Foods SA,Processed Foods,Spain
Corporate welfare,Other,22469,2023,Valsoia SpA,Processed Foods,Italy
Talent management,Employee attraction and retention,36127,2024,"General Mills, Inc.",Processed Foods,United States
children's rights,"Human rights, child labor, forced or compulsory labor",40246,2023,Uni-President Enterprises Corp,Processed Foods,Taiwan
Shareholder value,Economic performance,40155,2023,Seneca Foods Corporation,Processed Foods,United States
Waste and packaging,Material use and circular economy,32250,2018,Bakkafrost P/F,Processed Foods,Faroe Islands
Natural resources exploitation,Other,36204,2024,Cloetta AB,Processed Foods,Sweden
Safeguarding the Well-being of Individuals,Other,41196,2021,Unicharm Petcare Corp,Processed Foods,Japan
Climate Impacts,Climate change and GHG emissions,31441,2021,Monde Nissin Corporation,Processed Foods,Philippines
Diversity inclusion,"Diversity, equal opportunity and non-discrimination",33292,2022,Nutreco N.V.,Processed Foods,Netherlands
Water & Effluents,Water management,33303,2022,Thai Union Group PCL,Processed Foods,Thailand
Employee Health & Safety and Wellbeing,Occupational health and safety,29457,2021,PT INDOFOOD SUKSES MAKMUR Tbk,Processed Foods,Indonesia
"Accessible, healthy and nutritious food",Access & affordability,37054,2024,Hilton Food Group PLC,Processed Foods,United Kingdom
Particular rights of Indigenous communities,Local communities and rights of indigenous peoples,60562,2025,pladis,Processed Foods,United Kingdom
Promotion of Japanese food culture,Other,31335,2022,Kikkoman Corporation,Processed Foods,Japan
Forced labor prevention,"Human rights, child labor, forced or compulsory labor",22561,2022,Britannia Industries Ltd,Processed Foods,India
Forced or Compulsory Labor,"Human rights, child labor, forced or compulsory labor",45918,2021,NASCON Allied Industries PLC,Processed Foods,Nigeria
Anti-corruption,Anti-corruption,24562,2024,House Foods Group Inc,Processed Foods,Japan
Employee retention and development,Employee attraction and retention,33819,2022,"Deoleo, S.A.",Processed Foods,Spain
community,Local communities and rights of indigenous peoples,51258,2024,Monde Nissin Corporation,Processed Foods,Philippines
Corruption prevention,Anti-corruption,31143,2022,Eurogerm SAS,Processed Foods,France
water,Water management,28225,2018,Emmi Group,Processed Foods,Switzerland
Stakeholder and Community Engagement,Local communities and rights of indigenous peoples,53610,2023,Kasih Food Production Company,Processed Foods,Jordan
Professional Skills Cultivation,"Training, education and development",50590,2021,Lien Hwa Industrial Corporation,Processed Foods,Taiwan
RESPONSIBLE SOURCING & HUMAN RIGHTS,Supply chain and procurement practices,57968,2024,Utz Brands Inc,Processed Foods,United States
Energy,Energy,45918,2021,NASCON Allied Industries PLC,Processed Foods,Nigeria
Employee engagement,Employee attraction and retention,28122,2018,Farmer Brothers Co.,Processed Foods,United States
Ensuring sustainability of raw materials,Material use and circular economy,23931,2023,Calbee Inc,Processed Foods,Japan
Talent development,"Training, education and development",35167,2024,Vitasoy International Singapore Pte Ltd.,Processed Foods,Singapore
Food Security,Other,29088,2023,Kraft Heinz Co,Processed Foods,United States
Human rights in supply chain,"Human rights, child labor, forced or compulsory labor",28228,2019,Lindt & Sprüngli AG,Processed Foods,Switzerland
environment and supply chain sustainability,Environmental management,29634,2020,Herbalife Nutrition Ltd,Processed Foods,Cayman Islands
Sustainable fish feed,Supply chain and procurement practices,32252,2020,Bakkafrost P/F,Processed Foods,Faroe Islands
Consumers and end-users,Other,36204,2024,Cloetta AB,Processed Foods,Sweden
Diversity equal opportunity,"Diversity, equal opportunity and non-discrimination",29977,2022,"Sigma Alimentos, S. A. de C. V.",Processed Foods,Mexico
Waste Management & Circularity,Waste management,57692,2024,Lamb Weston Holdings Inc,Processed Foods,United States
Health nutrition food safety,Product quality and safety,21336,2022,Gruma SAB de CV,Processed Foods,Mexico
Occupational health and safety,Occupational health and safety,33460,2021,Food Empire Holdings Limited,Processed Foods,Singapore
Employee Development and Training,"Training, education and development",33573,2021,China Yurun Food Group Limited,Processed Foods,China
Workplace Diversity,"Diversity, equal opportunity and non-discrimination",33476,2023,Hosen Group Ltd,Processed Foods,Singapore
Human rights,"Human rights, child labor, forced or compulsory labor",51000,2024,"Post Holdings, Inc.",Processed Foods,United States
Fight against corruption,Anti-corruption,28532,2019,GEA Group Aktiengesellschaft,Processed Foods,Germany
Consumer behavior change,Other,28309,2021,Danone,Processed Foods,France
Food waste,Waste management,28641,2021,Premium Brands Holdings Corporation,Processed Foods,Canada
Rural and community development,Local communities and rights of indigenous peoples,45987,2021,Nestle Malaysia Bhd,Processed Foods,Malaysia
Regenerative agriculture,Biodiversity,33819,2022,"Deoleo, S.A.",Processed Foods,Spain
Impact of operations,Other,47690,2023,Tassal Group Ltd,Processed Foods,Australia
Climate Change: Mitigation,Climate change and GHG emissions,60562,2025,pladis,Processed Foods,United Kingdom
Labor/Management Relations,Freedom of association and collective bargaining,33034,2020,Emmi AG,Processed Foods,Switzerland
GHG emissions,Climate change and GHG emissions,32331,2021,Darling Ingredients,Processed Foods,United States
Biodiversity and living natural resources,Biodiversity,38262,2023,Lactalis ,Processed Foods,France
Product information and labels,Responsible marketing and labeling,50894,2020,Danone,Processed Foods,France
Water,Water management,32133,2021,Bell Food Group AG,Processed Foods,Switzerland
Sustainable fishing management,Supply chain and procurement practices,20638,2019,Orkla ASA,Processed Foods,Norway
conservation of biodiversity,Biodiversity,27785,2022,Kyokuyo Co Ltd,Processed Foods,Japan
Labor relations,Freedom of association and collective bargaining,28569,2022,The Hershey Company,Processed Foods,United States
Social and environmental responsibilities,Other,29979,2022,"FCF Co., Ltd.",Processed Foods,Taiwan
Employee training and development,"Training, education and development",35154,2022,RONCADIN SPA SB,Processed Foods,Italy
Responsible marketing,Responsible marketing and labeling,29975,2023,Ferrero Group,Processed Foods,Luxembourg
Product nutrition,Product quality and safety,29979,2022,"FCF Co., Ltd.",Processed Foods,Taiwan
Supplier Social Assessment,Supply chain and procurement practices,47684,2024,Taokaenoi Food & Marketing PCL,Processed Foods,Thailand
hunger relief efforts,Other,36151,2021,"Flowers Foods, Inc.",Processed Foods,United States
circular flows,Material use and circular economy,36233,2024,Löfbergs Lila AB,Processed Foods,Sweden
Consumer feedback,Other,59672,2025,"General Mills, Inc.",Processed Foods,United States
Systems innovation,Innovation and R&D,53409,2023,Humble Group,Processed Foods,Sweden
Waste management,Waste management,39830,2024,Libstar Holdings Ltd,Processed Foods,South Africa
Corruption prevention,Anti-corruption,23261,2021,Tiger Brands Ltd,Processed Foods,South Africa
Data Privacy Cybersecurity,Data security and customer privacy,37974,2023,SunOpta Inc,Processed Foods,Canada
energy-efficient practices,Energy,38995,2024,AVI Ltd,Processed Foods,South Africa
Human Rights,"Human rights, child labor, forced or compulsory labor",42874,2022,Cimob Participacoes SA,Processed Foods,Brazil
Earthquake emergency drills,Risk management,40707,2021,Ulker Biskuvi Sanayi AS,Processed Foods,Turkiye
Non-discrimination,"Diversity, equal opportunity and non-discrimination",55764,2022,Tiger Brands Ltd,Processed Foods,South Africa
Workers in the value chain,Supply chain and procurement practices,36231,2024,Lantmännen ek för,Processed Foods,Sweden
CONSUMER WELL-BEING,Other,43433,2023,Edita Food Industries SAE,Processed Foods,"Egypt, Arab Rep."
governance issues,Corporate governance,29087,2022,Kraft Heinz Co,Processed Foods,United States
Effluents and Waste,Waste management,36573,2024,DelMonte,Processed Foods,United States
Diversity and inclusion,"Diversity, equal opportunity and non-discrimination",36232,2021,Löfbergs Lila AB,Processed Foods,Sweden
Human rights in operations,"Human rights, child labor, forced or compulsory labor",38262,2023,Lactalis ,Processed Foods,France
Economic Empowerment,Economic performance,28539,2020,"Herbalife International, Inc.",Processed Foods,United States
Research and Development,Innovation and R&D,33737,2021,DCM Shriram Ltd.,Processed Foods,India
Product safety,Product quality and safety,20638,2019,Orkla ASA,Processed Foods,Norway
Integrity and Governance,Corporate governance,45988,2022,Nestle Malaysia Bhd,Processed Foods,Malaysia
responsible sourcing,Supply chain and procurement practices,57804,2024,Chocoladefabriken Lindt & Spruengli AG,Processed Foods,Switzerland
Response to climate change,Climate change and GHG emissions,21652,2022,Pulmuone Co Ltd,Processed Foods,"Korea, Rep."
Consumer Safety,Customer health and safety,28539,2020,"Herbalife International, Inc.",Processed Foods,United States
Child labor,"Human rights, child labor, forced or compulsory labor",50883,2023,Lindt & Sprüngli AG,Processed Foods,Switzerland
Environmental Conservation,Environmental management,24132,2023,B&G Foods Inc,Processed Foods,United States
Environmental impacts and risks,Environmental management,23263,2023,Tiger Brands Ltd,Processed Foods,South Africa
Talent management initiatives,Employee attraction and retention,24548,2023,Libstar Holdings Ltd,Processed Foods,South Africa
purpose-driven growth,Other,57698,2024,The Hain Celestial Group Inc,Processed Foods,United States
Energy,Energy,23116,2021,Universal Robina Corp,Processed Foods,Philippines
Diversity and inclusion,"Diversity, equal opportunity and non-discrimination",22469,2023,Valsoia SpA,Processed Foods,Italy
Climate change,Climate change and GHG emissions,36204,2024,Cloetta AB,Processed Foods,Sweden
Occupational health and safety,Occupational health and safety,31212,2021,Guan Chong Berhad (GCB),Processed Foods,Malaysia
Decrease and reduction of waste,Waste management,41198,2022,Nippon Flour Mills Co Ltd,Processed Foods,Japan
Labour Standards and Human Right,"Human rights, child labor, forced or compulsory labor",44308,2023,HB Global Ltd,Processed Foods,China
Social issue,Other,44308,2023,HB Global Ltd,Processed Foods,China
Corporate governance and ethical management,Corporate governance,25467,2023,Hunya Foods Co Ltd,Processed Foods,Taiwan
